test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,T_round,energy_savings
68817, 2019-06-16T15:58:01+02:00,30,8,30098,4,2,216918.0,41.15953178508273
68818, 2019-06-16T10:29:01+02:00,30,8,31046,4,2,216857.0,42.778793943534005
68819, 2019-06-15T06:43:01+02:00,30,8,5834,4,2,216979.0,41.38486809921781
68820, 2019-06-15T13:01:01+02:00,30,8,5459,4,2,216979.0,41.79277473665951
68821, 2019-06-13T04:05:01+02:00,30,8,32458,4,2,216918.0,40.54822302164616
68822, 2019-06-16T13:24:01+02:00,30,8,22653,4,2,216888.0,42.83663117788653
68823, 2019-06-15T05:26:01+02:00,30,8,18921,4,2,216979.0,42.98591810558845
68824, 2019-06-17T12:37:01+02:00,30,8,10378,4,2,216888.0,41.651457611208585
68825, 2019-06-17T11:13:01+02:00,30,8,31708,4,2,216888.0,42.79794388564544
68826, 2019-06-14T22:54:01+02:00,30,8,25165,4,2,216857.0,41.43122408753282
68827, 2019-06-18T12:04:01+02:00,30,8,23642,4,2,216918.0,41.4019040171095
68828, 2019-06-18T13:28:01+02:00,30,8,9691,4,2,216918.0,41.440318914395064
68829, 2019-06-15T15:49:01+02:00,30,8,14043,4,2,216918.0,40.07984694409169
68830, 2019-06-19T04:31:01+02:00,30,8,32595,4,2,216918.0,43.67494541484716
68831, 2019-06-13T18:33:01+02:00,30,8,27216,4,2,216918.0,44.25455314396014
68832, 2019-06-17T23:28:01+02:00,30,8,5351,4,2,216918.0,42.27304386005022
68833, 2019-06-15T11:51:01+02:00,30,8,5833,4,2,216949.0,42.040595926243945
68834, 2019-06-14T08:12:01+02:00,30,8,30064,4,2,216918.0,42.653905217346654
68835, 2019-06-15T18:30:01+02:00,30,8,21089,4,2,216888.0,42.7504017336785
68836, 2019-06-16T23:33:01+02:00,30,8,18200,4,2,216918.0,42.11113885055089
68837, 2019-06-13T14:28:01+02:00,30,8,4418,4,2,216949.0,40.77597847217567
68838, 2019-06-17T12:02:01+02:00,30,8,5736,4,2,216949.0,42.83084824872328
68839, 2019-06-17T02:28:01+02:00,30,8,15062,4,2,216949.0,42.843659891716456
68840, 2019-06-18T02:58:01+02:00,30,8,18574,4,2,216949.0,41.65899757396164
68841, 2019-06-17T17:31:01+02:00,30,8,3897,4,2,216918.0,44.12504596583719
68842, 2019-06-18T00:59:01+02:00,30,8,14932,4,2,216949.0,41.696644735018694
68843, 2019-06-14T09:01:01+02:00,30,8,28812,4,2,216918.0,43.27076499756075
68844, 2019-06-15T04:09:01+02:00,30,8,7140,4,2,216918.0,41.681366025308456
68845, 2019-06-19T03:00:01+02:00,30,8,25513,4,2,216918.0,43.05600897990784
68846, 2019-06-15T07:18:01+02:00,30,8,25701,4,2,217010.0,41.25674826021082
68847, 2019-06-17T03:17:01+02:00,30,8,18862,4,2,216949.0,41.564020565558565
68848, 2019-06-19T04:59:01+02:00,30,8,20397,4,2,216918.0,41.89476990116889
68849, 2019-06-19T18:38:01+02:00,30,8,11850,4,2,217010.0,41.19918424155728
68850, 2019-06-13T06:46:01+02:00,30,8,2671,4,2,216888.0,41.53269614576503
68851, 2019-06-14T03:25:01+02:00,30,8,25247,4,2,216979.0,42.693797434621786
68852, 2019-06-14T10:11:01+02:00,30,8,19928,4,2,216949.0,42.02638805914852
68853, 2019-06-19T13:02:01+02:00,30,8,31558,4,2,216918.0,43.74515471972679
68854, 2019-06-14T21:09:01+02:00,5,16,2535,4,2,52093.0,28.757518762616677
68855, 2019-06-17T03:10:01+02:00,5,16,31861,4,2,52154.0,27.32734648111471
68856, 2019-06-13T04:12:01+02:00,5,16,32373,4,2,52215.0,25.127002735443533
68857, 2019-06-14T02:15:01+02:00,5,16,18638,4,2,52154.0,30.04334941588499
68858, 2019-06-17T01:32:01+02:00,5,16,15979,4,2,52154.0,25.225321975099156
68860, 2019-06-17T18:13:01+02:00,5,16,21219,4,2,52185.0,30.584918531190663
68861, 2019-06-15T03:48:01+02:00,5,16,4871,4,2,52154.0,26.405984470963784
68862, 2019-06-18T16:58:01+02:00,5,16,245,4,2,52124.0,30.52345577917269
68863, 2019-06-15T18:37:01+02:00,5,16,16223,4,2,52154.0,28.449029526874277
68864, 2019-06-18T21:38:01+02:00,5,16,1470,4,2,52185.0,26.910700163065478
68865, 2019-06-17T09:28:01+02:00,5,16,16598,4,2,52154.0,26.470002560236676
68866, 2019-06-19T03:21:01+02:00,5,16,23164,4,2,52124.0,31.073613940204748
68867, 2019-06-13T15:03:01+02:00,5,16,314,4,2,52124.0,29.099663425579656
68868, 2019-06-19T16:32:01+02:00,5,16,17889,4,2,52154.0,30.306039451808978
68869, 2019-06-14T04:35:01+02:00,5,16,15542,4,2,52154.0,29.676690021039086
68870, 2019-06-16T13:03:01+02:00,5,16,19128,4,2,52185.0,27.9646746328206
68871, 2019-06-15T10:27:01+02:00,5,16,18467,4,2,52154.0,29.769194536033915
68872, 2019-06-18T08:20:01+02:00,5,16,7232,4,2,52093.0,26.530368530416297
68873, 2019-06-16T10:43:01+02:00,5,16,24857,4,2,52185.0,28.506399103887127
68874, 2019-06-19T17:35:01+02:00,5,16,27090,4,2,52124.0,29.86766986532988
68875, 2019-06-13T02:34:01+02:00,5,16,16200,4,2,52185.0,30.423732955378526
68876, 2019-06-16T07:48:01+02:00,5,16,2820,4,2,52185.0,30.003139199397832
68877, 2019-06-15T04:51:01+02:00,5,16,14094,4,2,52185.0,29.346317993956593
68878, 2019-06-17T08:25:01+02:00,5,16,4577,4,2,52154.0,28.181076672104403
68879, 2019-06-17T07:36:01+02:00,5,16,25138,4,2,52185.0,31.48239960337134
68880, 2019-06-15T04:37:01+02:00,5,16,9291,4,2,52124.0,30.281517146506832
68881, 2019-06-15T14:18:01+02:00,5,16,14786,4,2,52154.0,30.785485909153824
68882, 2019-06-17T08:39:01+02:00,5,16,3144,4,2,52154.0,27.398546636918287
68883, 2019-06-17T18:41:01+02:00,5,16,12796,4,2,52185.0,26.59606354281147
68884, 2019-06-18T03:05:01+02:00,5,16,12426,4,2,52185.0,28.638846174240417
68885, 2019-06-17T06:33:01+02:00,5,16,23784,4,2,52093.0,29.61301378204789
68886, 2019-06-17T20:47:01+02:00,5,16,25094,4,2,52124.0,30.215686274509807
68887, 2019-06-19T01:50:01+02:00,5,16,3306,4,2,52093.0,28.998442437852606
68888, 2019-06-16T20:17:01+02:00,5,16,30561,4,2,52062.0,28.863091718278298
68889, 2019-06-15T20:43:01+02:00,5,16,20168,4,2,52124.0,27.380967871064144
68890, 2019-06-18T07:24:01+02:00,5,16,27123,4,2,52185.0,26.812557112305885
68891, 2019-06-17T21:01:01+02:00,5,16,16486,4,2,52124.0,24.648378332892555
68892, 2019-06-15T23:38:01+02:00,5,16,24108,4,2,52185.0,24.264191095420756
68893, 2019-06-19T12:55:01+02:00,5,16,4288,4,2,52124.0,26.567727545680707
68894, 2019-06-17T12:44:01+02:00,5,16,10223,4,2,52154.0,27.84359048444573
68895, 2019-06-17T15:39:01+02:00,5,16,4809,4,2,52124.0,28.219276106684745
68896, 2019-06-17T06:12:01+02:00,5,16,15557,4,2,52154.0,28.874426995512408
68897, 2019-06-15T07:04:01+02:00,5,16,31159,4,2,52154.0,28.521753644152664
68898, 2019-06-17T04:48:01+02:00,5,16,6305,4,2,52124.0,28.01463064489613
68899, 2019-06-18T04:50:01+02:00,5,16,6575,4,2,52124.0,27.294815834175502
68900, 2019-06-13T14:07:01+02:00,5,16,4000,4,2,52154.0,33.71710640329346
68901, 2019-06-13T08:03:01+02:00,5,16,28352,4,2,52154.0,29.441089885467477
68902, 2019-06-14T18:49:01+02:00,5,16,29171,4,2,52124.0,29.928331101760918
68903, 2019-06-15T22:07:01+02:00,5,16,11103,4,2,52093.0,30.468611399751627
68904, 2019-06-16T01:51:01+02:00,5,16,18467,4,2,52185.0,28.546943602827376
68905, 2019-06-18T00:03:01+02:00,5,16,9314,4,2,52154.0,29.465293856057592
68906, 2019-06-19T05:06:01+02:00,5,16,12012,4,2,52124.0,26.790702378206376
68907, 2019-06-18T13:00:01+02:00,5,16,19943,4,2,52185.0,26.97629337799755
68908, 2019-06-18T20:07:01+02:00,5,16,18920,4,2,52185.0,26.29527430893104
68909, 2019-06-13T19:43:01+02:00,5,16,28971,4,2,52215.0,29.304530570353354
68910, 2019-06-13T13:32:01+02:00,5,16,1583,4,2,52093.0,31.781146031268726
68911, 2019-06-19T21:26:01+02:00,5,16,24660,4,2,52124.0,24.36921647152743
68913, 2019-06-15T05:05:01+02:00,5,16,4014,4,2,52154.0,32.80501445675032
68914, 2019-06-17T09:42:01+02:00,5,16,6644,4,2,52154.0,28.698875255623722
68915, 2019-06-16T03:43:01+02:00,10,16,18768,4,2,97045.0,32.533263109070774
68916, 2019-06-15T07:39:01+02:00,10,16,12517,4,2,97015.0,32.48572888306883
68917, 2019-06-16T17:15:01+02:00,10,16,3872,4,2,97015.0,29.21605476238736
