test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,node_id,T_round,T_round_1slot,T_on_round,T_on_without_round,energy_savings
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,8,42175.0,14221.0,23010.0,31950.0,27.981220657276996
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,10,42175.0,14251.0,21942.0,35856.0,38.80522088353413
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,11,42175.0,14190.0,25207.0,36801.0,31.504578679927175
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,13,42144.0,14190.0,21362.0,34056.0,37.27390180878553
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,15,42022.0,14160.0,22583.0,29294.0,22.90912814910903
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,16,42175.0,14190.0,22338.0,30516.0,26.79905623279591
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,17,42175.0,14190.0,20751.0,34146.0,39.228606571780006
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,18,42175.0,14190.0,20568.0,32317.0,36.35547854070613
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,19,42144.0,14282.0,19927.0,35246.0,43.46308800998695
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,20,42144.0,14190.0,18432.0,30852.0,40.25670945157526
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,22,42175.0,14221.0,20568.0,32346.0,36.41253941754776
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,23,42175.0,14221.0,19104.0,31583.0,39.51176265712567
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,24,42144.0,14221.0,20507.0,32437.0,36.778986959336564
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,25,42144.0,14190.0,20599.0,33688.0,38.853597720256474
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,26,42144.0,14251.0,22064.0,36375.0,39.34295532646048
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,27,42175.0,14221.0,20660.0,32407.0,36.24834140772055
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,28,42175.0,14221.0,19989.0,31492.0,36.52673694906643
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,31,42175.0,14282.0,20751.0,31522.0,34.16978618107988
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,32,42175.0,14190.0,21606.0,32713.0,33.952862776266315
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,33,42175.0,14221.0,21667.0,30576.0,29.137231815803244
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,1,42175.0,14221.0,24719.0,34146.0,27.607918936332222
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,2,42266.0,14221.0,23956.0,33262.0,27.977872647465574
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,3,42175.0,14221.0,20812.0,32499.0,35.961106495584474
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,4,42175.0,14221.0,22247.0,32529.0,31.608718374373634
